lastname,name,type,gender,screen_name,provincia,partido,bloque,interbloque,screen_name_corrected,followers_count,friends_count,statuses_count,favourites_count,birth,age,age_bucket
Cornejo, Alfredo Victor,D,M,alfredocornejou,Mendoza,,UCR,Juntos por el Cambio,alfredocornejou,1300,232,5,1,20/03/1962,58,56-60
Cornejo, Virginia María,D,F,cornejovirginia,Salta,,FRENTE PRO,Juntos por el Cambio,cornejovirginia,1312,853,2518,688,,,
Crescimbeni, Camila,D,F,camicrescimbeni,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,camicrescimbeni,8926,832,6150,5860,,30,
De Lamadrid, Alvaro Hector,D,M,AlvarodLamadrid,Ciudad De Buenos Aires,,UCR,Juntos por el Cambio,AlvarodLamadrid,23039,8952,21343,17037,5/2/72,48,46-50
De Marchi, Omar Bruno,D,M,omardemarchi,Mendoza,,FRENTE PRO,Juntos por el Cambio,omardemarchi,13575,429,6053,3038,28/05/1966,54,51-55
De Pedro, Eduardo Enrique,D,M,wadodecorrido,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,wadodecorrido,265869,1343,15179,18926,11/11/76,43,41-45
Di Giacomo, Luis,D,M,LuisDiGiacomo,Rio Negro,,JUNTOS SOMOS RIO NEGRO,Unidad Federal para el Desarrollo,DiGiacomoLuis,1446,431,1986,2269,,,
Donda Pérez, Victoria Analía,D,F,vikidonda,Ciudad De Buenos Aires,,SOMOS,Frente de Todos,vikidonda,239770,1098,54651,5394,17/09/1979,40,36-40
El Sukaria, Soher,D,M,SoherElSukaria,Cordoba,,FRENTE PRO,Juntos por el Cambio,SoherElSukaria,7828,1121,33715,71217,,,
Estevez, Gabriela Beatriz,D,F,gabiestevezok,Cordoba,,FRENTE DE TODOS,Frente de Todos,gabiestevezok,34642,4610,9604,11371,11/2/78,42,41-45
Frade, Mónica Edith,D,F,monicafrade2,BUENOS AIRES,,COALICION CIVICA,Juntos por el Cambio,MonicaFradeok,7240,2061,3082,3629,,,
Frigerio, Federico,D,M,fedefrigerio,Tierra Del Fuego,,FRENTE PRO,Juntos por el Cambio,fedefrigerio,854,128,319,106,7/1/70,50,46-50
García de Luca, Raúl Sebastían,D,M,SebastiangdlCh,BUENOS AIRES,,FRENTE PRO,Juntos por el Cambio,SebastiangdlCh,9988,1844,3951,1743,,,
García, Ximena,D,F,XimenaGarciaBl,SANTA FE,,UCR,Juntos por el Cambio,XimenaGarciaBl,2363,245,852,826,,,
Gioja, José Luis,D,M,joseluisgioja,SAN JUAN,,FRENTE DE TODOS,Frente de Todos,joseluisgioja,102050,122,6589,180,4/12/49,70,66-70
González, Álvaro Gustavo,D,M,_alvarogonzalez,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,_alvarogonzalez,9153,865,5100,1955,12/10/58,61,61-65
Grosso, Leonardo,D,M,Leonardo_Grosso,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,Leonardo_Grosso,46737,1178,9415,17690,1/4/83,37,36-40
Gutiérrez, Carlos Mario,D,M,Leg_gutierrez,Cordoba,,CORDOBA FEDERAL,Federal,Dip_Gutierrez,4344,1453,4059,4798,,,
Gutiérrez, Carlos Ramiro,D,M,Ramir_Gutierrez,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,Ramir_Gutierrez,6055,622,5345,7629,,,
Hagman, Itai,D,M,ItaiHagman,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,ItaiHagman,30522,935,13132,7124,13/02/1983,37,36-40
Hernández, Estela Beatriz,D,F,DipEstelaH,CHUBUT,,FRENTE DE TODOS,Frente de Todos,DipEstelaH,1053,800,2344,2071,20/04/1963,57,56-60
Jetter, Ingrid,D,F,IngridJetter,Corrientes,,FRENTE PRO,Juntos por el Cambio,IngridJetter,5393,515,5652,5793,,,
Joury, María de las Mercedes,D,F,MercedesJoury,BUENOS AIRES,,FRENTE PRO,Juntos por el Cambio,MercedesJoury,2073,547,3256,5851,,,
 Juez, Luis Alfredo,D,M,ljuez,Cordoba,,FRENTE PRO,Juntos por el Cambio,ljuez,35575,959,3030,10194,,,
Kirchner, Máximo Carlos,D,M,MaxicKirchner,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,MaxicKirchner,5,3,2,3,16/02/1977,43,41-45
Lampreabe, Florencia,D,F,FlorLampreabe,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,FlorLampreabe,2915,941,3360,3931,,,
Landriscini, Susana Graciela,D,F,Gra_Landriscini,Rio Negro,,FRENTE DE TODOS,Frente de Todos,Gra_Landriscini,286,296,364,442,,,
Larroque, Andrés,D,M,larroqueandres,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,larroqueandres,93854,545,14331,1299,26/01/1977,43,41-45
Latorre, Jimena Hebe,D,F,JimehLatorre,Mendoza,,UCR,Juntos por el Cambio,JimehLatorre,2274,316,883,957,,,
Leito, Mario Alberto,D,M,marioaleito,Tucuman,,FRENTE DE TODOS,Frente de Todos,marioaleito,5497,152,3598,4994,,,
Leiva, Aldo Adolfo,D,M,AldoAdolfoLeiva,Chaco,,FRENTE DE TODOS,Frente de Todos,AldoAdolfoLeiva,2076,385,1691,1746,,,
Lena, Gabriela Mabel,D,F,gabi_lena,Entre Rios,,UCR,Juntos por el Cambio,gabi_lena,2500,406,3206,4597,,,
Lospennato, Silvia Gabriela,D,F,slospennato,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,slospennato,30617,756,4764,5607,21/12/1977,42,41-45
Manzi, Rubén,D,M,ManziRubenOk,Catamarca,,COALICION CIVICA,Juntos por el Cambio,ManziRubenOk,1069,342,998,994,,,
Martín, Juan,D,M,jmrionegro,Santa Fe,,UCR,Juntos por el Cambio,jmrionegro,3225,1780,6528,16242,,,
Martínez Villada, Leonor María,D,F,leonormartinezv,Cordoba,,COALICION CIVICA,Juntos por el Cambio,leonormartinezv,1767,1407,1417,4985,5/6/50,70,66-70
Martínez, Germán Pedro,D,M,gerpmartinez,Santa Fe,,FRENTE DE TODOS,Frente de Todos,gerpmartinez,3733,1274,24041,16337,,,
Martínez, María Dolores,D,F,ladolom,Ciudad De Buenos Aires,,UCR,Juntos por el Cambio,ladolom,1,0,0,0,,,
Martínez, María Rosa,D,F,mrmartinez55,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,mrmartinez55,3772,2936,7821,6890,,,
Martinez, Norman Dario,D,M,dariomartinezpj,Neuquen,,FRENTE DE TODOS,Frente de Todos,dariomartinezpj,6225,888,4482,1748,3/9/74,45,41-45
Masin, María Lucila,D,F,LuciMasin,Chaco,,FRENTE DE TODOS,Frente de Todos,LuciMasin,13798,2697,3352,10170,31/05/1984,36,36-40
Massa, Sergio Tómas,D,M,SergioMassa,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,SergioMassa,1125868,2064,8747,10974,28/04/1972,48,46-50
Massetani, Vanesa Laura,D,F,vanemassetani,Santa Fe,,FRENTE DE TODOS,Frente de Todos,vanemassetani,2117,356,926,1268,3/3/82,38,36-40
Moisés, María Carolina,D,F,CarolinaMoises,Jujuy,,FRENTE DE TODOS,Frente de Todos,CarolinaMoises,12322,7619,21702,24728,5/3/75,45,41-45
Morales Gorleri, Victoria,D,F,VMoralesGorleri,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,VMoralesGorleri,14550,1071,7063,1500,1/3/72,48,46-50
Moreau, Cecilia,D,F,CECILIAMOREAU,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,CECILIAMOREAU,19300,770,17810,5183,5/12/76,43,41-45
Moyano, Juan Facundo,D,M,Facundo_Moyano,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,Facundo_Moyano,143503,280,9933,9134,25/12/1984,35,-35
Nanni, Miguel,D,M,NanniMiguel,Salta,,UCR,Juntos por el Cambio,NanniMiguel,,,,,6/5/77,43,41-45
Negri, Mario Raúl,D,M,marioraulnegri,Cordoba,,UCR,Juntos por el Cambio,marioraulnegri,161311,1016,14481,9089,6/2/54,66,66-70
Núñez, José Carlos,D,M,josenunezjurado,Santa Fe,,FRENTE PRO,Juntos por el Cambio,josenunezjurado,4285,2044,6903,4688,12/11/74,45,41-45
Obeid, Alejandra del Huerto,D,F,AlejandraObeid,Santa Fe,,FRENTE DE TODOS,Frente de Todos,AlejandraObeid,1137,694,1265,287,,,
Ormachea, Claudia Beatriz,D,F,ClaudiaTodos,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,ClaudiaTodos,698,326,351,134,,,
Penacca, Paula Andrea,D,F,PaulaPenacca,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,PaulaPenacca,19184,449,14701,19664,27/04/1981,39,36-40
Pérez Araujo, Hernán,D,M,hperezaraujo,La Pampa,,FRENTE DE TODOS,Frente de Todos,hperezaraujo,1633,520,10423,2410,,,
Ponce, Carlos Ybrhain,D,M,carlosponce668,San Luis,,FRENTE DE TODOS,Frente de Todos,carlosponce668,2169,648,2710,1661,,,
Rey, María Luján,D,F,MariaLujan_Rey,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,MariaLujan_Rey,65181,565,27232,31670,4/8/69,50,
Rezinovsky, Dina Esther,D,F,dinarezi,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,dinarezi,6597,1083,35461,17001,,,
Ritondo, Cristian Adrián,D,M,cristianritondo,BUENOS AIRES,,FRENTE PRO,Juntos por el Cambio,cristianritondo,202120,207,8568,1220,27/07/1966,53,51-55
Rizzotti, Jorge,D,M,Colorizzotti,Jujuy,,UCR,Juntos por el Cambio,Colorizzotti,228,41,18,0,,,
Romero, Hugo,D,M,VHRomeroV,Cordoba,,UCR,Juntos por el Cambio,VHRomeroV,1307,790,676,636,,,
Ruarte, Adriana Noemí,D,F,Adriana_Ruarte,Cordoba,,FRENTE PRO,Juntos por el Cambio,Adriana_Ruarte,482,576,426,1345,,,
Salvador, Sebastían Nicolás,D,M,SebasnSalvador,BUENOS AIRES,,UCR,Juntos por el Cambio,SebaSalvadorOk,5240,691,1135,602,,,
Sartori, Diego Horacio,D,M,SartoriDiegoH,Misiones,,FRENTE DE LA CONCORDIA MISIONERO,Unidad Federal para el Desarrollo,SartoriDiegoH,1693,227,4925,92,8/1/59,61,61-65
Schiavoni, Alfredo Oscar,D,M,Alfreschiavoni,Misiones,,FRENTE PRO,Juntos por el Cambio,Alfreschiavoni,5263,4799,6336,184,7/4/63,57,56-60
Selva, Carlos Américo,D,M,AmericoSelva,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,AmericoSelva,8,84,0,2,5/3/58,62,61-65
Soria, Martín Ignacio,D,M,SoriaEnAccion,Rio Negro,,FRENTE DE TODOS,Frente de Todos,SoriaEnAccion,4803,584,1174,679,,,
Stilman, Mariana,D,F,MarianStil,Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,MarianStil,2506,837,4057,7789,,,
Tailhade, Luis Rodolfo,D,M,rodotailhade,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,rodotailhade,73495,759,3661,7272,18/08/1970,49,46-50
Tonelli, Pablo Gabriel,D,M,PabloTonelli,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,PabloTonelli,11992,627,3990,2634,13/06/1954,66,66-70
Torello, Pablo,D,M,Pablo_Torello,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,Pablo_Torello,14884,1339,11269,674,12/2/59,61,61-65
Torres, Ignacio,D,M,NachoTorresCH,CHUBUT,,FRENTE PRO,Juntos por el Cambio,NachoTorresCH,6426,318,3653,4509,,,
Uceda, Marisa,D,F,MarisaUcedaOk,Mendoza,,FRENTE DE TODOS,Frente de Todos,MarisaUcedaOk,2747,952,8060,18234,,,
Valdes, Eduardo,D,M,eduardofvaldes,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,eduardofvaldes,18547,411,1004,392,16/02/1956,64,61-65
Vara, Jorge,D,M,JorgeVara8,Corrientes,,UCR,Juntos por el Cambio,JorgeVara8,621,219,537,276,,,
Vilar, Daniela,D,F,danyvilar,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,danyvilar,9675,2166,19844,5646,,,
Volnovich, Luana,D,F,luanavolnovich,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,luanavolnovich,75865,1374,8257,1332,26/09/1979,40,36-40
Zuvic, Mariana de Jesús,D,F,MarianaZuvic,Ciudad De Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,MarianaZuvic,203949,271,20874,21937,18/10/1974,45,41-45
Aicega, Juan,D,M,jaicega,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,jaicega,2186,404,1739,2038,15/06/1963,57,56-60
Alonso, Laura V.,D,F,lauValonso,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,lauValonso,17234,973,9248,14004,26/04/1977,43,41-45
Arce, Mario Horacio,D,M,MarioArceArg,Formosa,,UCR,Juntos por el Cambio,MarioArceArg,1357,693,2009,1123,6/11/75,44,41-45
Arroyo, Daniel Fernando,D,M,LicDanielArroyo,Buenos Aires,,RED POR ARGENTINA,Frente de Todos,LicDanielArroyo,116975,1134,9296,3802,6/10/66,53,51-55
Austin, Brenda Lis,D,F,brendalisaustin,Cordoba,,UCR,Juntos por el Cambio,brendalisaustin,15599,2176,9514,8789,11/10/81,38,36-40
Avila, Beatriz Luisa,D,F,Beatriz_AvilaOK,Tucuman,,PARTIDO POR LA JUSTICIA SOCIAL,Unidad Federal para el Desarrollo,Beatriz_AvilaOK,5287,722,2187,1731,5/10/66,53,51-55
Ayala, Aida Beatriz Maxima,D,F,AidaAyala,Chaco,,UCR,Juntos por el Cambio,AidaAyala,8338,1363,5393,3584,21/06/1953,67,66-70
Bahillo, Juan Jose,D,M,JuanjoBahillo,Entre Rios,,JUSTICIALISTA,Federal,JuanjoBahillo,4636,492,4005,1916,31/05/1966,54,51-55
Baldassi, Hector,D,M,HectorBaldassi,Cordoba,,FRENTE PRO,Juntos por el Cambio,HectorBaldassi,31879,493,9569,5099,5/1/66,54,51-55
Berisso, Hernan,D,M,hernanberisso,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,hernanberisso,5402,1811,1686,3866,9/2/70,50,46-50
Brambilla, Sofia,D,F,Sofiabrambilla,Corrientes,,FRENTE PRO,Juntos por el Cambio,Sofiabrambilla,5050,1417,5656,17377,16/03/1980,40,36-40
Brizuela Del Moral, Eduardo Segundo,D,M,brizuela_moral,Catamarca,,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Juntos por el Cambio,brizuela_moral,912,225,214,215,20/08/1944,75,70+
Bucca, Eduardo,D,M,BuccaBali,Buenos Aires,,JUSTICIALISTA,Federal,BuccaBali,26253,733,19309,17168,23/06/1979,41,41-45
Burgos, Maria Gabriela,D,F,mabyburgos,Jujuy,,UCR,Juntos por el Cambio,mabyburgos,6250,1412,4295,12283,3/6/71,49,46-50
Cabandie,Juan,D,M,juancabandie,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,juancabandie,235203,1292,4959,2332,16/03/1978,42,41-45
Caceres, Eduardo Augusto,D,M,educace,San Juan,,FRENTE PRO,Juntos por el Cambio,educace,8772,790,4175,1616,30/01/1975,45,41-45
Campagnoli, Marcela,D,F,M_Campagnoli,Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,M_Campagnoli,28430,320,11607,2382,11/1/57,63,61-65
Cantard, Albor Angel,D,M,NikyCantard,Santa Fe,,UCR,Juntos por el Cambio,NikyCantard,5100,406,2057,1550,6/8/61,58,56-60
